zipcode,review_score_group,review_scores_rating,review_score_normalized
28701,0-1 star,0,0.0
28701,1-2 star,0,0.0
28701,2-3 star,0,0.0
28701,3-4 star,0,0.0
28701,4-5 star,0,0.0
28704,0-1 star,0,0.0
28704,1-2 star,0,0.0
28704,2-3 star,0,0.0
28704,3-4 star,0,0.0
28704,4-5 star,117,117.0
28715,0-1 star,0,0.0
28715,1-2 star,0,0.0
28715,2-3 star,0,0.0
28715,3-4 star,0,0.0
28715,4-5 star,44,44.0
28730,0-1 star,0,0.0
28730,1-2 star,0,0.0
28730,2-3 star,0,0.0
28730,3-4 star,0,0.0
28730,4-5 star,1,1.0
28732,0-1 star,0,0.0
28732,1-2 star,0,0.0
28732,2-3 star,0,0.0
28732,3-4 star,0,0.0
28732,4-5 star,46,46.0
28748,0-1 star,0,0.0
28748,1-2 star,0,0.0
28748,2-3 star,0,0.0
28748,3-4 star,0,0.0
28748,4-5 star,2,2.0
28801,0-1 star,0,0.0
28801,1-2 star,0,0.0
28801,2-3 star,0,0.0
28801,3-4 star,4,4.0
28801,4-5 star,483,483.0
28803,0-1 star,0,0.0
28803,1-2 star,0,0.0
28803,2-3 star,0,0.0
28803,3-4 star,3,3.0
28803,4-5 star,301,301.0
28804,0-1 star,0,0.0
28804,1-2 star,1,1.0
28804,2-3 star,0,0.0
28804,3-4 star,3,3.0
28804,4-5 star,261,261.0
28805,0-1 star,0,0.0
28805,1-2 star,0,0.0
28805,2-3 star,0,0.0
28805,3-4 star,0,0.0
28805,4-5 star,256,256.0
28806,0-1 star,0,0.0
28806,1-2 star,0,0.0
28806,2-3 star,1,1.0
28806,3-4 star,6,6.0
28806,4-5 star,621,621.0
28814,0-1 star,0,0.0
28814,1-2 star,0,0.0
28814,2-3 star,0,0.0
28814,3-4 star,0,0.0
28814,4-5 star,0,0.0
28815,0-1 star,0,0.0
28815,1-2 star,0,0.0
28815,2-3 star,0,0.0
28815,3-4 star,0,0.0
28815,4-5 star,1,1.0
